City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Baglung,NP,28.2719,83.5898,75.15,63,97,3.67,overcast clouds
189,Vestmannaeyjar,IS,63.4427,-20.2734,47.71,92,100,26.75,overcast clouds
190,Vana-Vigala,EE,58.7806,24.2522,71.64,73,100,5.32,overcast clouds
191,Kalmunai,LK,7.4167,81.8167,82.9,72,84,5.68,broken clouds
192,Sovetskaya Gavan,RU,48.9723,140.2878,45.52,85,96,4.21,overcast clouds
193,Meulaboh,ID,4.1363,96.1285,78.49,82,100,4.38,overcast clouds
194,Tura,IN,25.5198,90.2201,76.39,91,81,6.15,broken clouds
195,Kamenka,RU,51.3223,42.7678,55.26,95,100,13.2,overcast clouds
196,Krasnozerskoye,RU,53.9828,79.2374,54.5,69,58,5.88,broken clouds
197,Lieksa,FI,63.3167,30.0167,70.41,39,30,4.25,scattered clouds
198,Waddan,LY,29.1614,16.139,92.03,11,1,13.76,clear sky
199,Mount Gambier,AU,-37.8333,140.7667,52.57,93,94,4.36,overcast clouds
200,Butaritari,KI,3.0707,172.7902,82.56,68,90,4.52,overcast clouds
201,Imbituba,BR,-28.24,-48.6703,76.62,64,0,11.68,clear sky
202,Paray-Le-Monial,FR,46.4546,4.1158,63.68,92,90,1.99,overcast clouds
203,Esperance,AU,-33.8667,121.9,58.1,57,99,11.72,overcast clouds
204,Padang,ID,-0.9492,100.3543,76.32,88,100,4.74,overcast clouds
205,Sokoto,NG,13.0609,5.239,103.93,23,54,5.95,broken clouds
206,Pokrovsk,UA,48.282,37.1758,65.77,67,96,8.66,overcast clouds
207,Havoysund,NO,70.9963,24.6622,43.68,83,100,15.43,overcast clouds
208,Istanbul,TR,41.0351,28.9833,71.76,60,20,5.1,few clouds
209,San Quintin,MX,30.4833,-115.95,61.47,82,11,6.08,few clouds
210,Tromso,NO,69.6496,18.957,59.65,62,20,4.61,few clouds
211,Aklavik,CA,68.2191,-135.0107,33.8,93,90,11.5,light intensity drizzle
212,Agirish,RU,61.9247,63.0231,78.94,24,91,12.24,overcast clouds
213,Dehloran,IR,32.6941,47.2679,111.02,7,4,15.23,clear sky
214,Sioux Lookout,CA,50.1001,-91.917,67.98,70,37,6.31,scattered clouds
215,Clonakilty,IE,51.6231,-8.8706,63.09,76,97,6.78,overcast clouds
216,Progreso,MX,21.2833,-89.6667,82.51,73,96,10.94,overcast clouds
217,Coolum Beach,AU,-26.5333,153.1,52.34,94,2,6.64,clear sky
218,Alexandria,EG,31.2156,29.9553,74.71,63,0,16.35,clear sky
219,Moroto,UG,2.5345,34.6666,81.55,37,42,11.34,scattered clouds
220,Nosy Varika,MG,-20.5833,48.5333,74.79,77,7,2.86,clear sky
221,Krasnoselkup,RU,65.7,82.4667,38.21,69,88,22.93,overcast clouds
222,Puerto Leguizamo,CO,-0.1934,-74.7819,74.07,88,98,0.56,overcast clouds
223,Cherskiy,RU,68.75,161.3,58.8,44,57,12.44,broken clouds
224,Magadan,RU,59.5667,150.8,38.57,95,100,21.94,light rain
225,Bitam,GA,2.076,11.5007,78.6,82,86,3.18,light rain
226,Alofi,NU,-19.0595,-169.9187,74.97,69,72,15.03,broken clouds
227,Pitimbu,BR,-7.4706,-34.8086,82.09,68,19,12.97,few clouds
228,Gobabis,NA,-22.45,18.9667,67.24,23,0,16.64,clear sky
229,Oktyabrskiy,RU,54.4815,53.471,61.2,61,75,8.01,broken clouds
230,Upernavik,GL,72.7868,-56.1549,37.67,79,71,3.42,broken clouds
231,Namatanai,PG,-3.6667,152.4333,79.52,83,29,6.2,light rain
232,Le Moule,GP,16.3332,-61.3473,84.24,73,99,18.21,overcast clouds
233,Vysokogornyy,RU,50.1167,139.15,39.09,99,100,4.07,overcast clouds
234,Bilma,NE,18.6853,12.9164,108.91,8,100,19.86,overcast clouds
235,Big Rapids,US,43.6981,-85.4837,78.44,52,1,11.5,clear sky
236,Shahrud,IR,36.4182,54.9763,85.35,28,0,13.29,clear sky
237,Oda,JP,35.1833,132.5,63.88,74,100,9.35,overcast clouds
238,Beloha,MG,-25.1667,45.05,65.91,80,71,11.27,light rain
239,Vallenar,CL,-28.5708,-70.7581,63.82,62,0,1.7,clear sky
240,Thompson,CA,55.7435,-97.8558,53.85,71,100,7.78,overcast clouds
241,Oyama,JP,36.3,139.8,74.59,72,100,2.39,overcast clouds
242,Caravelas,BR,-17.7125,-39.2481,77.83,79,13,8.57,few clouds
243,Kamalapuram,IN,14.5833,78.65,80.37,72,100,10.98,overcast clouds
244,Shibukawa,JP,36.4833,139.0,69.06,84,100,1.99,overcast clouds
245,The Valley,AI,18.217,-63.0578,83.1,75,100,22.79,overcast clouds
246,Roald,NO,62.5833,6.1333,72.16,82,0,12.66,clear sky
247,Udachnyy,RU,66.4167,112.4,46.62,48,22,13.76,few clouds
248,Skibbereen,IE,51.55,-9.2667,60.6,74,99,6.15,overcast clouds
249,Kavaratti,IN,10.5669,72.642,82.49,77,100,13.02,overcast clouds
250,Petkovci,BA,44.4531,19.0761,82.98,51,1,4.25,clear sky
251,Botwood,CA,49.1499,-55.3482,57.9,60,97,5.03,overcast clouds
252,Tucuman,AR,-26.8241,-65.2226,68.81,56,100,3.13,overcast clouds
253,Kaitangata,NZ,-46.2817,169.8464,44.92,75,100,5.66,overcast clouds
254,Coquimbo,CL,-29.9533,-71.3436,59.9,82,0,3.31,clear sky
255,Ambon,ID,-3.6954,128.1814,78.94,89,40,12.57,scattered clouds
256,Tual,ID,-5.6667,132.75,81.34,77,84,19.1,broken clouds
257,Hofn,IS,64.2539,-15.2082,48.88,82,95,4.79,overcast clouds
258,Talnakh,RU,69.4865,88.3972,29.61,91,97,3.94,overcast clouds
259,Leningradskiy,RU,69.3833,178.4167,33.31,94,100,9.51,overcast clouds
260,Asmar,AF,35.0333,71.3581,87.53,44,7,6.31,clear sky
261,Pangnirtung,CA,66.1451,-65.7125,36.09,84,45,3.13,scattered clouds
262,Tazlar,HU,46.5482,19.5144,82.63,36,12,7.83,few clouds
263,Sheregesh,RU,52.9209,87.9869,39.18,99,100,3.98,light rain
264,Mackenzie,CA,55.2999,-123.1698,46.62,93,75,10.36,broken clouds
265,Emba,KZ,48.8264,58.1442,71.78,27,91,14.25,overcast clouds
266,Nanortalik,GL,60.1432,-45.2371,45.63,65,100,9.48,overcast clouds
267,Mana,GF,5.6592,-53.7767,81.21,82,61,9.01,light rain
268,Bourges,FR,47.25,2.4167,69.85,72,99,5.84,overcast clouds
269,Athabasca,CA,54.7169,-113.2854,53.19,78,72,8.1,broken clouds
270,Provideniya,RU,64.3833,-173.3,35.15,97,100,3.47,overcast clouds
271,Bambanglipuro,ID,-7.95,110.2833,62.6,88,100,4.47,overcast clouds
272,Jacareacanga,BR,-6.2222,-57.7528,88.95,52,5,4.52,clear sky
273,Maragogi,BR,-9.0122,-35.2225,80.73,76,11,10.38,few clouds
274,Grindavik,IS,63.8424,-22.4338,56.55,93,75,18.01,light intensity drizzle rain
275,Fairbanks,US,64.8378,-147.7164,57.22,75,63,1.01,broken clouds
276,Graaff-Reinet,ZA,-32.2522,24.5308,61.92,26,0,7.25,clear sky
277,Bud,US,39.447,-86.1758,78.22,66,0,8.05,clear sky
278,Lasa,IT,46.6166,10.7002,73.62,69,41,4.5,light rain
279,Kidal,ML,18.4411,1.4078,111.06,6,1,15.77,clear sky
280,Qinhuangdao,CN,39.9317,119.5883,70.86,39,57,5.82,light rain
281,Komsomolskiy,UZ,40.4272,71.7189,94.24,17,0,14.97,clear sky
282,Birobidzhan,RU,48.8,132.95,51.19,91,100,3.15,overcast clouds
