City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
368,Hatillo,PR,88.0,few clouds,18.4863,-66.8254,Hotel Parador El Buen Cafe
370,Alangayam,IN,76.6,light rain,12.6,78.75,Vinoth Lodge
373,Santa Rosa,PH,86.11,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
381,Balaguer,ES,84.16,overcast clouds,41.7912,0.8109,Hotel Balaguer
382,Ridgetown,CA,78.49,few clouds,42.4334,-81.8998,JOJO's Paradise Bed & Breakfast/SPA/Bakery Café
383,Cayenne,GF,82.44,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
386,Kailua,US,76.14,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
387,Eydhafushi,MV,82.53,overcast clouds,5.1033,73.0708,Soneva Fushi
389,Westport,US,83.14,clear sky,41.1415,-73.3579,The Westport Inn
391,El Tigre,VE,77.02,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
399,Chalmette,US,75.0,light rain,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
400,Fare,PF,80.4,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
404,Cururupu,BR,87.31,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
405,Loiza,PR,83.86,overcast clouds,18.4313,-65.8802,Malibu Beachfront
406,Plainview,US,81.88,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
408,Pudozh,RU,76.37,clear sky,61.8099,36.5345,Guest-House na Transportnoy
409,Quatre Cocos,MU,75.09,few clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
410,Batticaloa,LK,83.17,overcast clouds,7.7102,81.6924,Grand Star Guest House
411,Shu,KZ,78.91,few clouds,43.5983,73.7614,Shyngyzkhan
412,Sumenep,ID,80.51,broken clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
417,Shelburne,CA,77.27,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
418,Acopiara,BR,86.36,clear sky,-6.0953,-39.4525,Cantinho do Ceu Hotel
421,Bacsalmas,HU,78.89,few clouds,46.1265,19.3326,Őszi Napfény Integrált Szociális Intézmény
423,Ojinaga,MX,76.15,clear sky,29.5667,-104.4167,Suites Las Palmas
427,Palembang,ID,84.29,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
430,Tuburan,PH,83.34,overcast clouds,6.6439,122.2736,GT Site
431,Rio Bananal,BR,78.58,broken clouds,-19.265,-40.3333,Hotel Carolina
433,San Vicente,AR,76.96,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
437,Marietta,US,80.28,broken clouds,33.9526,-84.5499,Hilton Atlanta/Marietta Hotel & Conference Center
441,Jiuquan,CN,75.31,overcast clouds,39.7432,98.5174,Jiuquan Hotel
442,Hambantota,LK,84.54,few clouds,6.1241,81.1185,Bungalow 63
446,Kavieng,PG,82.15,light rain,-2.5744,150.7967,Nusa Island Retreat
448,Takoradi,GH,82.96,light rain,4.8845,-1.7554,Raybow International Hotel
449,Guhagar,IN,79.74,heavy intensity rain,17.4842,73.1929,Hotel Seawinds
452,Hellin,ES,75.56,overcast clouds,38.5106,-1.7009999999999998,Hotel-restaurante Emilio
454,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
457,Santa Isabel Do Rio Negro,BR,85.32,broken clouds,-0.4139,-65.0192,Hotel GSA
459,Capanema,BR,87.28,clear sky,-1.1958,-47.1808,Hotel Legal
461,Texistepeque,SV,82.42,scattered clouds,14.1333,-89.5,Caserio Santa Elena Texistepeque
464,Gizo,SB,81.46,overcast clouds,-8.103,156.8419,Imagination Island
465,Verkhoturye,RU,75.58,broken clouds,58.8627,60.8054,Guest house Babinov
470,Ilhabela,BR,77.31,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
481,Carora,VE,80.44,overcast clouds,10.1755,-70.0827,Hotel Irpinia
482,Campagna,IT,75.24,overcast clouds,40.6653,15.1059,Hotel Capital
484,Zaraza,VE,81.01,overcast clouds,9.3503,-65.3245,Hotel Zaraza
486,Sola,VU,79.34,overcast clouds,-13.8833,167.55,Leumerus Bungalows
